Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-06-19 00:25:52,"Chest And Triceps",54m,"Skullcrusher (Dumbbell)",3,15.0,10,0,0,,,
2023-06-19 00:25:52,"Chest And Triceps",54m,"Triceps Pushdown (Cable - Straight Bar)",1,70.0,15,0,0,"",,
2023-06-19 00:25:52,"Chest And Triceps",54m,"Triceps Pushdown (Cable - Straight Bar)",2,70.0,14,0,0,,,
2023-06-19 00:25:52,"Chest And Triceps",54m,"Triceps Pushdown (Cable - Straight Bar)",3,70.0,13,0,0,,,
2023-07-04 16:40:30,"Legs",1h 17m,"AS Hack Squats",1,45.0,8,0,0,"","Always perform on Tuesdays",
2023-07-04 16:40:30,"Legs",1h 17m,"AS Hack Squats",2,45.0,8,0,0,,,
2023-07-04 16:40:30,"Legs",1h 17m,"AS Hack Squats",3,45.0,8,0,0,,,
2023-07-04 16:40:30,"Legs",1h 17m,"Romanian Deadlift (Barbell)",1,74.99999999999999,12,0,0,"",,
2023-07-04 16:40:30,"Legs",1h 17m,"Romanian Deadlift (Barbell)",2,74.99999999999999,0,0,0,,,
2023-07-04 16:40:30,"Legs",1h 17m,"Romanian Deadlift (Barbell)",3,74.99999999999999,0,0,0,,,
2023-07-04 16:40:30,"Legs",1h 17m,"Leg Extension (Machine)",1,50.0,13,0,0,"",,
2023-07-04 16:40:30,"Legs",1h 17m,"Leg Extension (Machine)",2,50.0,13,0,0,,,
2023-07-04 16:40:30,"Legs",1h 17m,"Leg Extension (Machine)",3,50.0,12,0,0,,,
2023-07-04 16:40:30,"Legs",1h 17m,"Seated Leg Curl (Machine)",1,30.0,15,0,0,"",,
2023-07-04 16:40:30,"Legs",1h 17m,"Seated Leg Curl (Machine)",2,30.0,15,0,0,,,
2023-07-04 16:40:30,"Legs",1h 17m,"Seated Leg Curl (Machine)",3,30.0,15,0,0,,,
2023-07-04 16:40:30,"Legs",1h 17m,"Standing Calf Raise (Machine)",1,60.0,12,0,0,"",,
2023-07-04 16:40:30,"Legs",1h 17m,"Standing Calf Raise (Machine)",2,60.0,15,0,0,,,
2023-07-04 16:40:30,"Legs",1h 17m,"Standing Calf Raise (Machine)",3,60.0,15,0,0,,,
2023-07-05 22:54:00,"Shoulders And Arms",1h 31m,"AS Iso-Lateral Shoulder Press",1,23.0,13,0,0,"","Always perform on Wednesday",
2023-07-05 22:54:00,"Shoulders And Arms",1h 31m,"AS Iso-Lateral Shoulder Press",2,23.0,11,0,0,,,
2023-07-05 22:54:00,"Shoulders And Arms",1h 31m,"AS Iso-Lateral Shoulder Press",3,23.0,10,0,0,,,
2023-07-05 22:54:00,"Shoulders And Arms",1h 31m,"AS Selectorized Standing Lateral Raises",1,20.0,12,0,0,"",,
2023-07-05 22:54:00,"Shoulders And Arms",1h 31m,"AS Selectorized Standing Lateral Raises",2,20.0,11,0,0,,,
2023-07-05 22:54:00,"Shoulders And Arms",1h 31m,"AS Selectorized Standing Lateral Raises",3,20.0,12,0,0,,,
2023-07-05 22:54:00,"Shoulders And Arms",1h 31m,"Reverse Fly (Cable)",1,7.0,20,0,0,"",,
2023-07-05 22:54:00,"Shoulders And Arms",1h 31m,"Reverse Fly (Cable)",2,7.0,20,0,0,,,
